word,religion,sex,body,excretion,slur,insult,formal,closed
nigger,0,0,0,0,1,1,0,0
fag,0,0,0,0,1,1,0,1
cocksucker,0,1,1,0,0,1,0,0
chink,0,0,0,0,1,1,0,1
motherfucker,0,1,0,0,0,1,0,0
buttfuck,0,1,1,0,0,0,0,1
bitch,0,0,0,0,0,1,0,1
retard,0,0,0,0,1,1,0,1
dyke,0,0,0,0,1,1,0,1
whore,0,1,0,0,1,1,0,0
pussy,0,0,1,0,0,1,0,0
slut,0,1,0,0,1,1,0,1
homo,0,0,0,0,1,1,0,0
fuck,0,1,0,0,0,0,0,1
shithead,0,0,0,1,0,1,0,1
lesbo,0,0,0,0,1,1,0,0
asshole,0,0,1,0,0,1,0,0
prick,0,0,0,0,0,1,0,1
queer,0,0,0,0,1,1,0,0
skank,0,1,0,0,1,1,0,1
spic,0,0,0,0,1,1,0,1
kike,0,0,0,0,1,1,0,1
cock,0,0,1,0,0,1,0,1
gook,0,0,0,0,1,1,0,1
twat,0,0,1,0,0,1,0,1
bastard,0,0,0,0,0,1,0,1
loser,0,0,0,0,0,1,0,0
goddamn,1,0,0,0,0,0,0,1
dick,0,0,1,0,0,1,0,1
hooker,0,1,0,0,0,1,0,0
nutsack,0,0,1,0,0,1,0,1
rimjob,0,1,0,0,0,0,0,1
moron,0,0,0,0,0,1,0,1
sodomize,0,1,0,0,0,0,0,0
dumb,0,0,0,0,0,1,0,0
gay,0,0,0,0,0,1,0,0
blowjob,0,1,0,0,0,0,0,1
clit,0,0,1,0,0,0,0,1
tits,0,0,1,0,0,0,0,1
shit,0,0,0,1,0,1,0,1
dildo,0,1,0,0,0,0,0,0
stupid,0,0,0,0,0,1,0,1
idiot,0,0,0,0,0,1,0,0
bullshit,0,0,0,1,0,0,0,1
masturbate,0,1,0,0,0,0,1,0
ass,0,0,1,0,0,1,0,1
jerk,0,0,0,0,0,1,0,1
knockers,0,0,1,0,0,0,0,0
castrate,0,0,1,0,0,0,1,0
vibrator,0,1,0,0,0,0,0,0
turd,0,0,0,1,0,1,0,1
anus,0,0,1,0,0,0,1,1
jugs,0,0,1,0,0,0,0,1
cum,0,1,0,0,0,0,0,1
boner,0,1,1,0,0,0,0,0
defecate,0,0,0,1,0,0,1,0
suck,0,1,0,0,0,1,0,1
jism,0,0,0,1,0,0,0,1
scrotum,0,0,1,0,0,0,1,1
horny,0,1,0,0,0,0,0,0
piss,0,0,0,1,0,0,0,1
crap,0,0,0,1,0,1,0,1
ejaculate,0,0,0,1,0,0,1,0
pecker,0,0,1,0,0,0,0,0
penis,0,0,1,0,0,0,1,1
hump,0,1,0,0,0,0,0,1
fellatio,0,1,0,0,0,0,1,0
damn,1,0,0,0,0,0,0,1
vagina,0,0,1,0,0,0,1,0
fornicate,0,1,0,0,0,0,1,0
cunnilingus,0,1,0,0,0,0,1,1
boobs,0,0,1,0,0,0,0,1
hell,1,0,0,0,0,0,0,1
nipples,0,0,1,0,0,0,0,0
screw,0,1,0,0,0,0,0,1
lame,0,0,0,0,0,1,0,0
fart,0,0,0,1,0,0,0,1
testicles,0,0,1,0,0,0,1,0
snatch,0,0,1,0,0,0,0,1
balls,0,0,1,0,0,0,0,1
orgasm,0,1,0,0,0,0,1,1
dork,0,0,0,0,0,1,0,1
excrement,0,0,0,1,0,0,1,1
semen,0,1,0,0,0,0,1,1
breasts,0,0,1,0,0,0,1,1
coitus,0,1,0,0,0,0,1,1
booty,0,0,1,0,0,0,0,0
pee,0,0,0,1,0,0,0,0
butt,0,0,1,0,0,0,0,1
climax,0,1,0,0,0,0,1,1
randy,0,1,0,0,0,1,0,0
cunt,0,0,1,0,0,1,0,1